bekraeftigen_s1099_f1	Beide Seiten 	bekräftigten 	ihre `` Entschlossenheit '' , die Märkte füreinander offenzuhalten sowie Hindernisse aufzuheben , `` seien sie struktureller oder anderer Art '' . 
bekraeftigen_s3130_f1	Der Verteidigungsminister sagte , erkeywordtag habe in London seinen Vorschlag 	bekräftigt 	, mit weiteren Partnern ein gänzlich neues , um 30 bis 40 Prozent billigeres Flugzeug zu entwerfen . 
bekraeftigen_s3549_f1	Der Bundesverteidigungsminister sagte , erkeywordtag habe in London seinen Vorschlag 	bekräftigt 	, die taktischen Erfordernissen künftiger Verteidigung gemeinsam neu zu bewerten und zusammen mit weiteren Partnern ein gänzlich neues , um 30 bis 40 Prozent billigeres Flugzeug zu entwerfen . 
bekraeftigen_s3923_f1	Freunde Aristides hatten 	bekräftigt 	, daß der 1991 gestürzte Präsident nicht bereit sei , mit Bazin als Regierungschef zu verhandeln . 
bekraeftigen_s3957_f1	In einer Botschaft an die Streitkräfte aus Anlaß des Unabhängigkeitstages am 9. Juli 	bekräftigte 	der Staatschef , daß Argentinien Anspruch auf die Inselgruppe im südlichen Atlantik erhebe , die 1833 von Großbritannien besetzt wurde und seit 1917 britische Kronkolonie ist . 
bekraeftigen_s6571_f1	Das Wirtschaftsministerium 	bekräftigte 	auch seine ablehnende Haltung zu Plänen von Bundesarbeitsminister Norbert Blüm ( CDU ) sowie der SPD , in Zusammenhang damit die Verdienstgrenze für sozialversicherungsfreie Beschäftigungen von derzeit 580 Mark deutlich zu senken . 
bekraeftigen_s6784_f1	Der Finanzminister 	bekräftigte 	, daß die Koalition die Abschaffung der Gewerbekapitalsteuer und eine mittelstandsfreundliche Komponente bei der Gewerbeertragsteuer anstrebt . 
bekraeftigen_s6831_f1	Zugleich 	bekräftigt 	der Tierschutzbund seine ablehnende Haltung zum Pelztierfang mit Fallen . 
bekraeftigen_s7627_f1	Der Rabin-Attentäter Jigal Amir hat am heutigen Montag morgen vor einem Gericht in Tel Aviv bei einem Haftprüfungstermin sein Geständnis wiederholt und 	bekräftigt 	, den Mord an dem israelischen Ministerpräsidenten ohne Mittäter verübt zu haben . 
bekraeftigen_s8320_f1	Yigal Amir 	bekräftigte 	erneut , den Anschlag allein verübt zu haben : 
bekraeftigen_s8791_f1	Erkeywordtag 	bekräftigte 	, daß die Beerdigung Rabins nicht das Ende des Friedensprozesses bedeute . 
bekraeftigen_s9635_f1	Mit der Entscheidung 	bekräftigte 	das BVG seine umstrittene Rechtsprechung vom vergangenen Jahr . 
bekraeftigen_s9931_f1	Pereskeywordtag 	bekräftigte 	, die Beerdigung Rabins bedeute nicht das Ende des Friedensprozesses . 
bekraeftigen_s12841_f1	Der SPD-Vorsitzende Rudolf Scharping 	bekräftigte 	mit Blick auf die Währungsunion , wichtiger als der Zeitplan für das Zustandekommen der EWU sei nach Auffassung seiner Partei , daß die Konvergenzkriterien eingehalten werden . 
bekraeftigen_s14423_f1	Wenn vereinzelt auch die Bundeswehr erwähnt wird , so geschieht das nur , um zu bekräftigen , daß die Aussage über alle Soldaten auch für die Soldaten der Bundeswehr gelte . 
bekraeftigen_s19606_f1	Daskeywordtag 	bekräftigte 	am Sonntag die Tageszeitung Il Messaggero unter Berufung auf zwei Architekten der Bauaufsicht , die die gegenwärtigen Restaurierungsarbeiten an dem antiken Theater leiten . 
bekraeftigen_s20949_f1	Der amtierende Regierungschef Shimon Peres 	bekräftigte 	dieskeywordtag am Sonntag abend vor den 250 000 Menschen , die sich zu Ehren Rabins in Tel Aviv versammelt hatten . 
bekraeftigen_s23228_f1	Angesichts der Zweifel , die während des Gesetzgebungsverfahrens aufgekommen seien , habe auch die Bundesregierung diesen Standpunkt vertreten und `` 	bekräftigt 	'' . 
bekraeftigen_s23658_f1	Der Parteitag solle `` den gemeinsamen Willen , daß die SPD ihre politische Aufgabe für die Menschen in unserem Land wieder wahrnimmt '' , 	bekräftigen 	. 
bekraeftigen_s23712_f1	Oppositionkeywordtag 	bekräftigt 	Boykottaufrufkeywordtag und appelliert an EU 
bekraeftigen_s23714_f1	Führende algerische Oppositionsgruppen haben zwei Tage vor der Präsidentschaftswahl ihren Aufruf an die algerische Bevölkerung 	bekräftigt 	, sich an der `` Alibiwahl '' nicht zu beteiligen . 
bekraeftigen_s25165_f1	Zuvor hatte der Kanzler in seinen Gesprächen mit der chinesischen Führung die `` klare Ein-China-Politik Deutschlands '' 	bekräftigt 	. 
bekraeftigen_s25225_f1	Bei der Jahrestagung 	bekräftigte 	der HDE seine ablehnende Haltung zu längeren Öffnungszeiten . 
bekraeftigen_s30517_f1	Zur Rückführung der Vietnamesen aus der Bundesrepublik 	bekräftigten 	beide Regierungschefs , das zu diesem Zweck geschlossene Abkommen solle `` korrekt ausgeführt '' werden . 
