dementieren_f1	Ein Konzernsprecher wollte die in der Wochenendausgabe genannte Zahl weder 	dementierenkeywordtag 	noch bestätigen 
dementieren_f1	Die italienische Zentralbank diekeywordtag die Gerüchte energisch 	dementiertekeywordtag 	sah sich Ende der vergangenen Woche mehrfach zu Interventionen gezwungen um ihre Währung zu stützen 
dementieren_f1	Der Sprecher von Präsident Boris Jelzin Sergej Medwedew 	dementiertekeywordtag 	Äußerungen des Regierungschefs wonach er einige Vollmachten von Jelzin übernommen habe 
dementieren_f1	Börnsenkeywordtag 	dementiertkeywordtag 	dieskeywordtag zwar energisch streitet aber ein Interesse an dem Job nicht grundsätzlich ab 
dementieren_f1	Verärgert hat Wirtschaftsminister Hans Wijers einen Bericht des Algemeen Dagblad 	dementiertkeywordtag 	wonach Den Haag bereit sei 800 Millionen Gulden zuzuschießen 
dementieren_f1	Rafsandschanikeywordtag 	dementiertkeywordtag 	Einflußnahme Teherans 
dementieren_f1	Die Commerzbank als Konsortialführerin der Kreditgeber habe ihm gegenüber eine finanzielle Schieflage 	dementiertkeywordtag 	sagt der Schweriner Minister Ringstorff 
dementieren_f1	Die Andeutung er werde Jelzin von bestimmten Aufgaben zu entlasten haben und gar die Machtministerien der Verteidigung der Sicherheit des Inneren und des Äußeren irgendwie übernehmen hatte erkeywordtag rasch zu dementieren 
dementieren_f1	Ebelingkeywordtag mußte Meldungen wonach er sich komplett vom Bier trennen wolle 	dementierenkeywordtag 	
dementieren_f1	In Bonn umlaufende Gerüchte Kinkel wolle zurücktreten 	dementiertekeywordtag 	erkeywordtag 
dementieren_f1	Das Bundesverteidigungsministerium hat inzwischen Berichte 	dementiertkeywordtag 	die Bundesregierung befürworte eine Kandidatur des niederländischen EU-Kommissars Hans van den Broek 
dementieren_f1	Der Erdöl-Konzern Shell jedenfalls hat zwar die Hinrichtungen bedauert mochte aber die Zeitungsmeldung daß er am Mittwoch einen Vier-Milliarden-Dollar-Vertrag über die Ausbeutung von nigerianischen Gasvorkommen unterzeichnen werde nicht 	dementierenkeywordtag 	
dementieren_f1	Zugleich 	dementiertekeywordtag 	die Botschaft `` kategorisch '' daß auf Landsleute Druck ausgeübt worden sei damit sie zur Wahl gehen 
dementieren_f1	Zwar 	dementiertekeywordtag 	der ehemalige palästinensische Chefunterhändler bei den Nahost-Friedensgesprächen Haider Abd el-Shafi Hamas habe ihn angesprochen eine gemeinsame Partei zu gründen 25 Prozent würden diese unterstützen sagte aber 
dementieren_f1	Am Rande des SPD-Parteitags in Mannheim 	dementiertenkeywordtag 	ostdeutsche SPD-Politiker Meldungen über eine mögliche Tolerierung von Minderheitsregierungen der Sozialdemokraten durch die PDS vom kommenden Jahr an 
dementieren_f1	Spezialisten in Peking 	dementierenkeywordtag 	jedoch nicht wenn von 250 Millionen geredet wird 
dementieren_f1	Berichte zwei Vororte Jaffnas seien bereits von der Armee erobert worden 	dementiertekeywordtag 	ein Armeesprecher am Abend 
dementieren_f1	Der Sprecher 	dementiertekeywordtag 	Meldungen aus England daß die Bundesrepublik bereit sei über die vorgesehenen 140 Flugzeuge hinaus zusätzliche 30 bis 40 Stück abzunehmen um den mit Finanzproblemen ringenden Partnern die Senkung ihrer Kosten zu ermöglichen 
dementieren_f1	Beidekeywordtag hatten dieskeywordtag 	dementiertkeywordtag 	
