festnehmen_s197_f1	Denn wer sich öffentlich zur Autonomen Antifa ( M ) bekennen würde , müßte damit rechnen , 	festgenommen 	zu werden . 
festnehmen_s1164_f1	In einer Erklärung der Staatsanwaltschaft in Annaba , wo Boudiaf am vergangenen Montag getötet worden war , hieß es , Boumarafkeywordtag sei noch am Tattag 	festgenommen 	worden , jedoch nicht am Tatort . 
festnehmen_s1396_f1	Die ägpytische Polizei hat am Samstag in Kenah in Oberägypten 67 moslemische Fundamentalisten 	festgenommen 	und eine große Zahl Waffen nebst Munition beschlagnahmt , berichtete die Presse des Landes am Sonntag . 
festnehmen_s1403_f1	Wie die Polizei mitteilte , wurden acht Protestanten 	festgenommen 	. 
festnehmen_s1454_f1	Fünf Personen wurden 	festgenommen 	. 
festnehmen_s1779_f1	47 Personen wurden vorübergehend 	festgenommen 	. 
festnehmen_s2405_f1	Fünf Oppositionelle 	festgenommen 	
festnehmen_s2407_f1	Fünf Oppositionelle sind in Ebebiyin im Norden von Äquatorialguinea von der Polizei 	festgenommen 	worden . 
festnehmen_s2434_f1	Die Regierung in Ankara teilte weiter mit , gegen 135 Kurden sei Haftbefehl erlassen worden , diekeywordtag vor einer Woche bei einer Straßenblockade 	festgenommen 	worden waren . 
festnehmen_s2709_f1	Darin steht , daß siekeywordtag am 27. April bei einer Ausweiskontrolle 	festgenommen 	worden sei , weil sie einer mutmaßlichen Terroristin ähnlich gesehen habe . 
festnehmen_s3010_f1	482keywordtag wurden 	festgenommen 	, wenige Stunden später aber nach Feststellung der Personalien alle wieder freigelassen . 
festnehmen_s3387_f1	Am Rande der Eröffnung des Münchner Gipfels wurden am Montag bei Zusammenstößen zwischen Demonstranten und Polizeikeywordtag nach Polizeiangaben 482 Personen 	festgenommen 	und viele in die Justizvollzugsanstalt Stadelheim gebracht . 
festnehmen_s3761_f1	Drei afrikanische Asylbewerber , diekeywordtag in der Nacht zum Sonntag im ostsächsischen Zittau nach einer Messerstecherei 	festgenommen 	worden waren , haben offenbar in Notwehr gehandelt . 
festnehmen_s3853_f1	Einer der wichtigsten Führer der maoistischen Rebellenbewegung `` Sendero Luminoso '' ( Leuchtender Pfad ) ist in Peru 	festgenommen 	worden . 
festnehmen_s3909_f1	In mehreren algerischen Städten sind in den vergangenen Tagen zahlreiche islamische Fundamentalisten 	festgenommen 	worden . 
festnehmen_s3911_f1	Außerdem seien 20 weitere Personen 	festgenommen 	worden , die ihm zur Flucht verholfen hätten , hieß es weiter . 
festnehmen_s3912_f1	Die Germanerie teilte mit , siekeywordtag habe zahlreiche FIS-Mitglieder wegen des Besitzes von Flugblättern 	festgenommen 	. 
festnehmen_s3999_f1	Zahlreiche Fernfahrer wurden vorübergehend 	festgenommen 	. 
festnehmen_s4452_f1	60 Studenten wurden nach Polizeiangaben 	festgenommen 	. 
festnehmen_s4476_f1	In London wurde am Samstag nach Angaben aus Polizeikreisen der Algerier Abdelkaber Benouis 	festgenommen 	, der als möglicherweise entscheidender Auftraggeber der Bombenanschläge gilt . 
festnehmen_s4479_f1	Er soll engen Kontakt zu dem Algerier Bouamel Bensaid gehalten haben , derkeywordtag vergangene Woche in Paris 	festgenommen 	wurde . 
festnehmen_s4571_f1	Der Student war nach Informationen der Polizei im Juli bei einer gewalttätigen Siedlerdemonstration gegen die palästinensische Autonomie im Westjordanland wegen seiner besonderen Feindseligkeit aufgefallen und später 	festgenommen 	worden . 
festnehmen_s4667_f1	Der Attentäter , nach Angaben der Polizei ein fanatischer Rechtsextremist und Gegner der Aussöhnung mit den Arabern , wurde sofort 	festgenommen 	. 
festnehmen_s4670_f1	Der Student steht der extremen Gruppierung `` Ejal '' nahe und war im Juli bei gewalttätigen Siedlerdemonstrationen gegen die palästinensische Autonomie im Westjordanland durch besonders feindseliges Verhalten aufgefallen und später 	festgenommen 	worden . 
festnehmen_s5773_f1	Der Attentäter , der nicht einmal den Versuch zu fliehen unternahm , wurde 	festgenommen 	: Der 27jährige Yigal Amir aus Tel Avivs Diplomatenvorort Herzliya , der an der Bar-Ilan-Universität Jura studierte . 
festnehmen_s6225_f1	Der Unbekannte wurde mit offenem Klappmesser in der Hand 	festgenommen 	. 
festnehmen_s6520_f1	Im Amtssitz des kanadischen Ministerpräsidenten Jean Chrétien ist in der Nacht zum Sonntag ein mit einem geöffneten Klappmesser bewaffneter Mann 	festgenommen 	worden . 
festnehmen_s6543_f1	Der ehemalige Präsident Roh werde `` sehr wahrscheinlich '' 	festgenommen 	werden , hieß es . 
festnehmen_s6597_f1	Im Zusammenhang mit der Anschlagsserie in Frankreich wurden in London drei weitere Verdächtige 	festgenommen 	. 
festnehmen_s7635_f1	Sein Bruder Hagai ist ebenfalls 	festgenommen 	worden . 
festnehmen_s8786_f1	Nach Rundfunkangaben wurde inzwischen auch Jigal Amirs Freundin 	festgenommen 	, es wird untersucht , ob sie von den Mordplänen wußte . 
festnehmen_s9947_f1	Nach dem Bruder des Attentäters wurde auch seine Verlobte 	festgenommen 	. 
festnehmen_s10655_f1	Wie ein Grenzschutz-Sprecher sagte , wurden zwei Tschechen mit den Behältern am Übergang Glucholazy 	festgenommen 	. 
festnehmen_s11115_f1	Im Anschluß an diese Aktion seien 13 tatverdächtige Drogenhändler 	festgenommen 	worden , sagte BKA-Sprecher Willi Fundermann am Mittwoch in Wiesbaden . 
festnehmen_s12886_f1	Der israelische Geheimdienst Schin Beth hat zwei weitere Personen 	festgenommen 	, die verdächtigt werden , an der Ermordung des Ministerpräsidenten Yitzhak Rabin beteiligt gewesen zu sein . 
festnehmen_s13332_f1	Avrils Schwiegersohn Paul Henri Cineas wurde 	festgenommen 	. 
festnehmen_s13646_f1	Fünf Tage nach dem Mordanschlag auf Israels Ministerpräsidenten Yitzhak Rabin hat die Polizei zwei weitere Verdächtige 	festgenommen 	. 
festnehmen_s13649_f1	Zuletzt war am Mittwoch der Chef der Extremistengruppe Ejal , Awischai Rawiw , 	festgenommen 	worden . 
festnehmen_s14113_f1	Die beiden Elektronik-Studenten im deutschen Wolfenbüttel wurden nach ihrer Ankunft am Flughafen Monastir 	festgenommen 	. 
festnehmen_s14118_f1		Festgenommen 	wurde selbst Marzoukis Verteidiger , der Menschenrechtler Najib Hosni . 
festnehmen_s15065_f1	Der 55jährige war in der Nacht zuvor nach der Rückkehr aus dem Urlaub auf dem Frankfurter Rhein-Main-Flughafen 	festgenommen 	worden . 
festnehmen_s15145_f1	Avrils Schwiegersohn Paul Henri Cineas wurde 	festgenommen 	. 
festnehmen_s15146_f1	Darüber hinaus wurden am Mittwoch auch der Ex-Oberst Christophe Dardompre und zwei Taxifahrer unter dem Verdacht der Tatbeteiligung 	festgenommen 	. 
festnehmen_s15511_f1	Wie einige der Männer berichteten , wurden siekeywordtag deswegenkeywordtag 	festgenommen 	und mißhandelt . 
festnehmen_s15555_f1	Zwei weitere Verdächtige wurden 	festgenommen 	. 
festnehmen_s16227_f1	Knapp eine Woche nach dem Mordanschlag auf den israelischen Ministerpräsidenten Yitzhak Rabin hat die israelische Polizei einen sechsten Verdächtigen 	festgenommen 	. 
festnehmen_s16229_f1	Bereits am gestrigen Donnerstag hatte die Polizei zwei Verdächtige 	festgenommen 	, nachdem bereits am Mittwoch der Anführer der Extremistengruppe Ejal in Polizeigewahrsam genommen worden war . 
festnehmen_s17242_f1	Am 14. April wird Ali Ihsan Dagli im Dorf Esme Koyu ( Provinz Diyarbakir ) 	festgenommen 	. 
festnehmen_s19032_f1	Nach Angaben des Bundeskriminalamtes wurden zwölf Tatverdächtige in den USA , der Türkei und in Frankfurt 	festgenommen 	sowie 12,6 Millionen Mark beschlagnahmt . 
festnehmen_s19285_f1	Derweil wurde ein sechster mutmaßlicher Mittäter 	festgenommen 	. 
festnehmen_s19361_f1	Die irische Polizei hat am Freitag an der Grenze Irlands zur britischen Provinz Nordirland zwei Lkw mit insgesamt mehr als 400 Kilo Sprengstoff sichergestellt und drei Männer 	festgenommen 	. 
festnehmen_s19520_f1	Auch der Vater des Soldaten sei 	festgenommen 	worden . 
festnehmen_s19552_f1	Als Vedächtige wurden vier mutmaßliche Mitglieder einer radikalen Splittergruppe 	festgenommen 	. 
festnehmen_s19677_f1	Sieben der etwa 30 Anwesenden wurden 	festgenommen 	. 
festnehmen_s20552_f1	`` Hier sind zwar auch überall Geheimpolizisten , aber in der Uni getrauen siekeywordtag sich nicht , michkeywordtag 	festzunehmen 	. '' 
festnehmen_s21406_f1	Bei einem Anteil von zwölf Prozent der Gesamtbevölkerung werden Schwarzekeywordtag fünfmal häufiger wegen Waffenverstößen 	festgenommen 	als Weiße . 
festnehmen_s21420_f1	Die US-Bundespolizei FBI hat am Samstag in Vernon im Bundesstaat Oklahoma drei Personen wegen des Verdachts 	festgenommen 	, einen Bombenanschlag geplant zu haben . 
festnehmen_s23446_f1	Der Schwiegersohn Avrils war 	festgenommen 	worden . 
festnehmen_s23521_f1	Bei einem bundesweiten Großeinsatz gegen Flüchtlingsschleuser hat die Polizei am Dienstag 100 Verdächtige , zumeist Flüchtlinge aus Bangladesch , 	festgenommen 	. 
festnehmen_s23528_f1	Der größte Teil der Verdächtigen wurde in Mittelfranken 	festgenommen 	. 
festnehmen_s24758_f1	Fünf Ausländer und Deutsche wurden vorläufig 	festgenommen 	. 
festnehmen_s25995_f1	Wie am heutigen Mittwoch aus palästinensischen Sicherheitskreisen verlautete , wurden bereits vor einigen Tagen im Gaza-Streifen fünf Männer 	festgenommen 	, die ein Attentat auf Arafat geplant hätten . 
festnehmen_s28454_f1	Sie gehören zu einer Gruppe von 70 Angeklagten , diekeywordtag nach der Rückeroberung der Krajina durch Kroatiens Armee im August 	festgenommen 	worden waren . 
festnehmen_s30631_f1	etwa 1200 wurden in Gewahrsam genommen oder 	festgenommen 	. 
festnehmen_s31278_f1	amnesty hatte zudem berichtet , daß zehn Priester , die für die getöteten Menschenrechtler eine Messe gehalten hatten , 	festgenommen 	worden seien . 
festnehmen_s31333_f1	Der französische Zoll hat 21 Kurden ohne Ausweispapiere auf der Fahrt nach Deutschland 	festgenommen 	. 
festnehmen_s31335_f1	Die Kurden und der syrische Lkw-Fahrer wurden 	festgenommen 	. 
festnehmen_s34268_f1	Bei einer verbotenen Demonstration gegen die deutsche Kurdenpolitik in Köln hat die Polizei am Samstag mittag sämtliche 335 Teilnehmer vorübergehend 	festgenommen 	. 
festnehmen_s34586_f1	Am Samstag hatte die spanische Polizei acht bewaffnete deutsche Skinheads 	festgenommen 	, die an der Kundgebung teilnehmen wollten . 
festnehmen_s35666_f1	Die niederländische Polizei hat 25 Verdächtige 	festgenommen 	, die zu einem Ring von Kinderhändlern gehören sollen . 
festnehmen_s35795_f1	Über 500 Randalierer , unter ihnen zahlreiche Minderjährige im Alter von 13 bis 17 Jahren , wurden 	festgenommen 	. 
festnehmen_s35879_f1	Kassim , der im dänischen Exil lebte , war während eines Besuches in Kroatien im September 	festgenommen 	und von Zagreb - vermutlich über amerikanische `` Mittelsmänner '' - an Kairo ausgeliefert worden . 
