einigenf1	Mögliche Koalitionspartner 	einigtenkeywordtag 	sich auf Kandidatin 
einigenf1	Sieben von acht Parteien aus der ehemaligen SolidarnoscBewegung 	einigtenkeywordtag 	sich am Samstag auf die Kandidatur der 46jährigen Posener Juristin Hanna Suchocka die der  Demokratischen Union  von Tadeusz Mazowiecki angehört 
einigenf1	Die acht aus den Traditionen der legendären Gewerkschaft  Solidarität  hervorgegangenen Parteien haben sich auf eine gemeinsame Regierungskoalition 	geeinigtkeywordtag 	
einigenf1	Im zweiten Anlauf 	einigtekeywordtag 	sich der Ausschuß am Montag abend in Bonn auf einen Kompromiß nach dem aber auch künftig keine schärferen Kontrollen gegen Steuerhinterziehung vorgenommen werden wie sie die SPD gefordert hatte 
einigenf1	Dies ist wohl auch der Grund warum nun ausgerechnet die hinduchauvinistische Indische Volkspartei die BJP welche zugleich die größte Oppositionspartei ist sich mit der von ihr bis aufs Blut bekämpften Janata Dal auf einen gemeinsamen Kandidaten 	geeinigtkeywordtag 	hat auf den ehemaligen stellvertretenden Parlamentssprecher George Gilbert Swell einen christlichen Stammesangehörigen aus dem nordöstlichen Meghalaya 
einigenf1	Belgien wünscht daß sich WEU und NATO darüberkeywordtag 	einigenkeywordtag 	wobei die NATOStruktur nicht geschwächt werden dürfe 
einigenf1	Der Vorsitzende der bei den Wahlen am 23 Juni siegreichen Arbeitspartei 	einigtekeywordtag 	sich mit Vertretern der orthodoxen SchasPartei und der Vereinigten ThoraPartei über die Bedingungen für eine Beteiligung an der Regierung 
einigenf1	Stadtentwicklungssenator Volker Hassemer CDU sagte das Land Berlin und der Bund hätten sich auf diese Verteilung 	geeinigtkeywordtag 	
einigenf1	Allerdings konnten sich die Kommunalvertreter auch noch nicht darauf 	einigenkeywordtag 	den Bad Homburger Oberbürgermeister Wolfgang Assmann der sein Interesse an dem Posten bekundet hat offiziell als Bewerber vorzuschlagen 
einigenf1	Kunstminister Rudolf Scholten und der Landeshauptmann Ministerpräsident des Bundeslandes Salzburg Hans Katschthaler haben sich nach den Berichten 	geeinigtkeywordtag 	den Vertrag des Belgiers erst Anfang nächsten Jahres zu verlängern offensichtlich um das Thema aus dem in Österreich laufenden Wahlkampf herauszuhalten 
einigenf1	Der kroatische Präsident Franjo Tudjman und der serbische Staatschef Slobodan Milosevic hatten sich am Mittwoch in den USA auf eine friedliche Beilegung des OstslawonienKonflikts 	geeinigtkeywordtag 	und die Vermittler mit der Leitung der Verhandlungen beauftragt 
einigenf1	Der Streit über die künftige Schiedsrichterstelle die etwa Lizenzen vergeben soll kocht just zu dem Zeitpunkt hoch da sich Union und SPD anscheinend auf einen Kompromiß zum Telekommunikationsgesetz 	geeinigtkeywordtag 	haben 
einigenf1	Daraufkeywordtag haben sich die Bundesanstalt für Post und Telekommunikation sowie das Bonner Post und das Finanzministerium 	geeinigtkeywordtag 	
einigenf1	Auf diese Kernpunkte haben sich die Gesundheitsexperten von CDUCSU und FDP 	geeinigtkeywordtag 	
einigenf1	Als Übergangslösung hat sich die Bonner Regierungskoalition zudem für das kommende Jahr auf eine gesetzliche Obergrenze für Krankenhauskosten 	geeinigtkeywordtag 	wie Gesundheitsminister Horst Seehofer CSU und der FDPExperte Dieter Thomae berichten 
einigenf1	Die Bonner Regierungsparteien und die SPDFraktion haben sich nach Angaben der SPDPostexperten Arne Börnsen und Hans Martin Bury über Eckpunkte für einen liberalisierten Telefonmarkt 	geeinigtkeywordtag 	
einigenf1	Daraufkeywordtag haben sich nach zähen Verhandlungen mit heftigen Kontroversen am Dienstag die Vertreter der Bonner Regierungskoalition 	geeinigtkeywordtag 	
einigenf1	In einer Aufsichtsratssitzung 	einigtenkeywordtag 	sich Geschäftsführung und Belegschaftsvertreter darauf neu in Dienst zu stellende Schiffe künftig im Ausland oder im deutschen Zweitregister zuzulassen 
einigenf1	Ihre Delegationen 	einigtenkeywordtag 	sich nach viermonatigen Verhandlungen auf den Entwurf eines Rahmenabkommens das dem Vater oder der Mutter eines Kindes von bis zu acht Jahren mindestens drei Monate unbezahlten Urlaub zugesteht 
einigenf1	Die Bonner Koalitionsparteien haben sich darauf 	geeinigtkeywordtag 	das Ausländerrecht in einigen Punkten zu liberalisieren 
einigenf1	Die Führer vieler CommonwealthNationen haben sich bereits im Vorfeld des Treffens darauf 	geeinigtkeywordtag 	Major auf der Konferenz zu isolieren und Großbritannien wegen seiner frankreichfreundlichen Position scharf zu verurteilen 
einigenf1	Nach monatelangen zähen Verhandlungen 	einigtenkeywordtag 	sich die Koalitionsparteien CDUCSU und FDP mit der SPD auf die Eckwerte für ein Telekommunikationsgesetz das den Zugang zu diesem lukrativen Markt regeln wird 
einigenf1	Daraufkeywordtag haben sich die Verhandlungskommissionen von CDU SPD und Bündnis 90 Grüne im Römer 	geeinigtkeywordtag 	wie der Sprecher von Oberbürgermeisterin Petra Roth CDU Alexander Skipis am frühen Freitag morgen mitteilte 
einigenf1	Die Präsidenten von Bosnien und Kroatien Alija Izetbegovic und Franjo Tudjman haben sich darauf 	geeinigtkeywordtag 	ihren bisher brüchigen Kooperationspakt zu erweitern 
